gre_score,toefl_score,univ_ranking,motiv_letter_strength,recommendation_strength,gpa,research_exp,admit_status,gender,education,id_student,final_score
334,119,5,4.5,5,9.54,yes,1,female,bachelor,STD1423,946
325,114,5,4,5,9.46,yes,1,female,master,STD1424,924
323,111,5,4,5,9.86,yes,1,male,bachelor,STD1425,906
312,106,3,3,5,8.57,no,1,female,bachelor,STD1426,826
310,101,3,3.5,5,8.65,yes,1,male,bachelor,STD1427,823
316,103,2,2,4.5,8.74,no,0,male,master,STD1428,586
340,115,5,5,4.5,9.06,yes,1,male,bachelor,STD1429,931
311,104,3,4,3.5,8.13,yes,1,female,master,STD1430,819
320,112,2,3.5,3.5,8.78,yes,1,female,master,STD1431,888
324,112,4,4.5,4,9.22,yes,1,male,bachelor,STD1432,892
316,111,4,4,5,8.54,no,1,female,bachelor,STD1433,852
306,103,3,3.5,3,8.21,no,0,female,bachelor,STD1434,476
309,105,2,2.5,4,7.68,no,0,male,master,STD1435,510
310,110,1,1.5,4,7.23,yes,0,female,bachelor,STD1436,458
317,106,,1.5,3.5,7.65,yes,0,male,master,STD1437,300
318,110,1,2.5,3.5,8.54,yes,0,male,bachelor,STD1438,583
312,105,2,1.5,3,8.46,no,0,female,bachelor,STD1439,474
305,104,2,2.5,1.5,7.79,no,0,female,bachelor,STD1440,401
332,112,1,1.5,3,8.66,yes,1,female,master,STD1441,870
331,116,4,4.5,4.5,9.44,yes,1,female,bachelor,STD1442,934
321,114,5,4.5,4.5,9.16,yes,1,male,master,STD1443,906
324,113,5,4,5,9.25,yes,1,male,bachelor,STD1444,888
328,116,5,4.5,5,9.08,yes,1,female,master,STD1445,931
327,118,4,5,5,9.67,yes,1,female,master,STD1446,983
320,108,3,3.5,5,8.97,yes,1,female,master,STD1447,897
312,109,2,2.5,4,9.02,no,1,female,bachelor,STD1448,838
315,101,3,3.5,4.5,9.13,no,1,male,master,STD1449,867
320,112,4,3,4.5,8.86,yes,1,male,master,STD1450,869
324,113,4,4.5,4.5,9.25,yes,1,female,bachelor,STD1451,905
328,,4,5,3.5,9.6,yes,1,female,bachelor,STD1452,651
319,103,3,2.5,,8.76,yes,1,female,master,STD1453,651
310,105,2,3,3.5,8.01,no,1,female,master,STD1454,808
305,102,2,1.5,2.5,7.64,no,0,female,master,STD1455,412
299,100,2,2,2,7.88,no,0,female,master,STD1456,404
295,99,1,2,1.5,7.57,no,0,female,bachelor,STD1457,343
312,,1,3,3,8.53,yes,0,male,bachelor,STD1458,300
329,113,4,4,3.5,9.36,yes,1,male,master,STD1459,914
319,105,4,4,4.5,8.66,yes,1,male,bachelor,STD1460,840
301,102,3,2.5,2,8.13,yes,0,female,bachelor,STD1461,393
307,105,4,3,3,7.94,no,0,female,bachelor,STD1462,432
304,107,3,3.5,3,7.86,no,0,female,master,STD1463,497
298,97,2,2,3,7.21,no,0,female,master,STD1464,375
305,96,4,3,4.5,8.26,no,0,female,bachelor,STD1465,451
314,99,4,3.5,4.5,8.73,yes,1,male,bachelor,STD1466,807
318,101,5,3.5,5,8.78,yes,1,female,bachelor,STD1467,816
323,110,4,4,5,8.88,yes,1,female,master,STD1468,901
326,114,4,4,3.5,9.16,yes,1,male,master,STD1469,903
320,110,5,4,4,9.27,yes,1,female,bachelor,STD1470,856
311,103,3,2,4,8.09,no,0,male,bachelor,STD1471,461
,116,4,4,4.5,9.48,yes,1,female,bachelor,STD1472,651
316,102,2,4,3.5,8.15,no,0,female,master,STD1473,585
308,105,4,3,2.5,7.95,yes,0,male,master,STD1474,457
300,101,3,3.5,2.5,7.88,no,0,male,master,STD1475,451
304,104,3,2.5,2,8.12,no,0,female,master,STD1476,444
309,105,4,3.5,2,8.18,no,0,male,master,STD1477,478
318,103,3,4,4.5,8.49,yes,1,female,bachelor,STD1478,840
325,110,4,4.5,4,8.96,no,1,female,bachelor,STD1479,879
321,102,3,3.5,4,9.01,yes,1,female,bachelor,STD1480,846
323,107,4,3,2.5,8.48,yes,1,female,master,STD1481,813
328,113,4,4,2.5,8.77,yes,1,female,master,STD1482,871
304,103,5,5,3,7.92,no,1,male,bachelor,STD1483,755
317,106,3,3.5,3,7.89,yes,1,female,bachelor,STD1484,785
317,105,3,3.5,3,8.56,no,0,female,bachelor,STD1163,539
319,102,3,2.5,2.5,8.37,no,0,female,bachelor,STD1486,477
327,115,4,3.5,4,9.14,no,1,male,master,STD1487,904
322,112,3,3,4,8.62,yes,1,male,master,STD1488,869
302,110,3,4,4.5,8.5,no,0,female,bachelor,STD1489,562
,105,2,2.5,4.5,8.12,yes,0,male,bachelor,STD1490,300
297,99,4,3,3.5,7.81,no,0,female,bachelor,STD1491,383
298,101,4,2.5,4.5,7.69,yes,0,male,bachelor,STD1492,396
300,95,,3,1.5,8.22,yes,0,female,master,STD1493,300
301,99,3,2.5,2,8.45,yes,0,male,master,STD1494,436
,108,5,4.5,4,9.02,yes,1,male,master,STD1495,651
337,117,5,5,5,9.87,yes,1,male,bachelor,STD1496,972
330,120,5,4.5,5,9.56,yes,1,female,bachelor,STD1497,941
312,103,4,4,5,8.43,no,1,male,master,STD1498,843
327,113,4,4.5,4.5,9.04,no,1,female,bachelor,STD1499,902
313,102,3,3.5,4,8.9,yes,1,male,bachelor,STD1500,825
328,108,4,4.5,4,9.18,yes,1,female,bachelor,STD1501,889
321,109,4,4,4,8.68,yes,0,female,bachelor,STD1502,594
325,106,3,3.5,4,8.4,yes,0,female,bachelor,STD1503,584
314,106,3,3,5,8.9,no,1,male,bachelor,STD1504,843
